YEAR,STATE,ANSI,1000ACRES_PLANTED,1000ACRES_HARVESTED
2015,WASHINGTON,53,3660,3784
2015,WEST VIRGINIA,54,676,701
2015,WISCONSIN,55,7999,7868
2015,WYOMING,56,1496,1415
2014,ALABAMA,1,2360,2275
2014,ARIZONA,4,701,692
2014,ARKANSAS,5,7463,7337
2014,CALIFORNIA,6,3405,2918
2014,COLORADO,8,6188,5597
2014,CONNECTICUT,9,79,75
2014,DELAWARE,10,495,476
2014,FLORIDA,12,1170,1146
2014,GEORGIA,13,3795,3496
2014,HAWAII,15,16,16
2014,IDAHO,16,4302,4113
2014,ILLINOIS,17,23025,22843
2014,INDIANA,18,12360,12255
2014,IOWA,19,24876,24605
2014,KANSAS,20,23007,21904
2014,KENTUCKY,21,6267,6122
2014,LOUISIANA,22,3587,3545
2014,MAINE,23,277,271
2014,MARYLAND,24,1617,1487
2014,MASSACHUSETTS,25,95,92
2014,MICHIGAN,26,6618,6487
2014,MINNESOTA,27,19741,19324
2014,MISSISSIPPI,28,4308,4248
2014,MISSOURI,29,14094,13832
2014,MONTANA,30,9967,9446
2014,NEBRASKA,31,19544,19146
2014,NEVADA,32,455,443
2014,NEW HAMPSHIRE,33,69,68
2014,NEW JERSEY,34,331,320
2014,NEW MEXICO,35,983,677
2014,NEW YORK,36,3051,2994
2014,NORTH CAROLINA,37,5070,4952
2014,NORTH DAKOTA,38,23004,22205
2014,OHIO,39,10034,9894
2014,OKLAHOMA,40,10781,7834
2014,OREGON,41,2086,2048
2014,PENNSYLVANIA,42,3789,3679
2014,RHODE ISLAND,44,10,10
2014,SOUTH CAROLINA,45,1674,1633
2014,SOUTH DAKOTA,46,17816,17335
2014,TENNESSEE,47,5155,5045
2014,TEXAS,48,23473,17476
2014,UTAH,49,937,893
2014,VERMONT,50,277,270
2014,VIRGINIA,51,2816,2715
2014,WASHINGTON,53,3889,3784
2014,WEST VIRGINIA,54,706,701
2014,WISCONSIN,55,8089,7868
2014,WYOMING,56,1478,1415
2013,Alabama,1,2410,2309
2013,Arizona,4,745,733
2013,Arkansas,5,7682,7560
2013,California,6,4009,3508
2013,Colorado,8,5916,4890
2013,Connecticut,9,74,70
2013,Delaware,10,492,472
2013,Florida,12,1187,1163
2013,Georgia,13,3848,3557
2013,Hawaii,15,18,18
2013,Idaho,16,4502,4338
2013,Illinois,17,23055,22854
2013,Indiana,18,12330,12270
2013,Iowa,19,24320,23981
2013,Kansas,20,23474,21881
2013,Kentucky,21,6567,6447
2013,Louisiana,22,3563,3525
2013,Maine,23,269,260
2013,Maryland,24,1607,1489
2013,Massachusetts,25,104,101
2013,Michigan,26,6504,6433
2013,Minnesota,27,19454,19066
2013,Mississippi,28,4504,4441
2013,Missouri,29,14624,14373
2013,Montana,30,9566,9135
2013,Nebraska,31,19553,18756
2013,Nevada,32,380,365
2013,New Hampshire,33,64,63
2013,New Jersey,34,312,304
2013,New Mexico,35,975,555
2013,New York,36,3148,3093
2013,North Carolina,37,5035,4876
2013,North Dakota,38,20387,19995
2013,Ohio,39,10164,10083
2013,Oklahoma,40,10497,7874
2013,Oregon,41,2144,2099
2013,Pennsylvania,42,3651,3551
2013,Rhode Island,44,11,11
2013,South Carolina,45,1604,1556
2013,South Dakota,46,17855,16874
2013,Tennessee,47,5246,5099
2013,Texas,48,24019,16292
2013,Utah,49,1026,964
2013,Vermont,50,272,265
2013,Virginia,51,2869,2754
2013,Washington,53,3667,3605
2013,West Virginia,54,674,670
2013,Wisconsin,55,7951,7633
2013,Wyoming,56,1420,1350
2012,Alabama,1,2390,2298
2012,Arizona,4,785,776
2012,Arkansas,5,7948,7771
2012,California,6,4361,3797
2012,Colorado,8,6039,5367
2012,Connecticut,9,85,80
2012,Delaware,10,496,483
2012,Florida,12,1204,1180
2012,Georgia,13,3815,3480
2012,Hawaii,15,17,17
2012,Idaho,16,4404,4260
2012,Illinois,17,23158,22680
2012,Indiana,18,12395,12275
2012,Iowa,19,24838,24546
2012,Kansas,20,23622,22320
2012,Kentucky,21,6177,6027
2012,Louisiana,22,3600,3559
2012,Maine,23,264,256
2012,Maryland,24,1552,1422
2012,Massachusetts,25,89,86
2012,Michigan,26,6652,6570
2012,Minnesota,27,20009,19755
2012,Mississippi,28,4615,4545
2012,Missouri,29,14074,13725
2012,Montana,30,9192,8863
2012,Nebraska,31,19551,18896
2012,Nevada,32,456,441
2012,New Hampshire,33,66,65
2012,New Jersey,34,331,322
2012,New Mexico,35,1024,604
2012,New York,36,3252,3196
2012,North Carolina,37,4880,4740
2012,North Dakota,38,22970,22642
2012,Ohio,39,10173,10039
2012,Oklahoma,40,10439,8607
2012,Oregon,41,2132,2104
2012,Pennsylvania,42,3759,3661
2012,Rhode Island,44,10,10
2012,South Carolina,45,1644,1597
2012,South Dakota,46,17512,16853
2012,Tennessee,47,4889,4741
2012,Texas,48,22600,16389
2012,Utah,49,981,916
2012,Vermont,50,276,266
2012,Virginia,51,2895,2799
2012,Washington,53,3670,3615
2012,West Virginia,54,710,704
2012,Wisconsin,55,8098,7889
2012,Wyoming,56,1312,1229
2011,Alabama,1,2265,2169
2011,Arizona,4,791,785
2011,Arkansas,5,7901,7639
2011,California,6,4335,3857
2011,Colorado,8,6300,5763
2011,Connecticut,9,89,84
2011,Delaware,10,492,480
2011,Florida,12,1085,1057
2011,Georgia,13,3737,3314
2011,Hawaii,15,17,17
2011,Idaho,16,4371,4219
2011,Illinois,17,22949,22793
2011,Indiana,18,12315,12237
2011,Iowa,19,24732,24336
2011,Kansas,20,22995,20924
2011,Kentucky,21,5798,5673
2011,Louisiana,22,3528,3461
2011,Maine,23,262,251
2011,Maryland,24,1502,1403
2011,Massachusetts,25,95,90
2011,Michigan,26,6568,6513
2011,Minnesota,27,19597,19332
2011,Mississippi,28,4577,4437
2011,Missouri,29,13771,13348
2011,Montana,30,8725,8489
2011,Nebraska,31,19281,18933
2011,Nevada,32,481,470
2011,New Hampshire,33,68,67
2011,New Jersey,34,320,313
2011,New Mexico,35,1033,612
2011,New York,36,2934,2871
2011,North Carolina,37,4858,4689
2011,North Dakota,38,18245,17768
2011,Ohio,39,10004,9911
2011,Oklahoma,40,9559,6542
2011,Oregon,41,2239,2200
2011,Pennsylvania,42,3729,3623
2011,Rhode Island,44,12,12
2011,South Carolina,45,1638,1587
2011,South Dakota,46,16588,16309
2011,Tennessee,47,4897,4735
2011,Texas,48,21317,11903
2011,Utah,49,1066,1014
2011,Vermont,50,265,257
2011,Virginia,51,2951,2871
2011,Washington,53,3738,3685
2011,West Virginia,54,718,711
2011,Wisconsin,55,8026,7868
2011,Wyoming,56,1546,1483
2010,Alabama,1,2115,2031
2010,Arizona,4,738,730
2010,Arkansas,5,7646,7532
2010,California,6,4205,3651
2010,Colorado,8,6248,6034
2010,Connecticut,9,88,84
2010,Delaware,10,442,431
2010,Florida,12,1079,1053
2010,Georgia,13,3576,3309
2010,Hawaii,15,17,17
2010,Idaho,16,4371,4236
2010,Illinois,17,22716,22525
2010,Indiana,18,12190,12088
2010,Iowa,19,24595,24300
2010,Kansas,20,22729,22127
2010,Kentucky,21,5745,5555
2010,Louisiana,22,3412,3369
2010,Maine,23,267,262
2010,Maryland,24,1412,1341
2010,Massachusetts,25,99,96
2010,Michigan,26,6493,6436
2010,Minnesota,27,19823,19490
2010,Mississippi,28,4331,4207
2010,Missouri,29,13140,12862
2010,Montana,30,9285,8875
2010,Nebraska,31,19226,18792
2010,Nevada,32,504,493
2010,New Hampshire,33,71,70
2010,New Jersey,34,309,301
2010,New Mexico,35,1090,901
2010,New York,36,2943,2903
2010,North Carolina,37,4736,4529
2010,North Dakota,38,21496,21021
2010,Ohio,39,10010,9915
2010,Oklahoma,40,10335,8635
2010,Oregon,41,2224,2182
2010,Pennsylvania,42,3703,3598
2010,Rhode Island,44,11,11
2010,South Carolina,45,1631,1584
2010,South Dakota,46,16133,15747
2010,Tennessee,47,4797,4649
2010,Texas,48,21972,19107
2010,Utah,49,1000,931
2010,Vermont,50,287,280
2010,Virginia,51,2774,2672
2010,Washington,53,3701,3631
2010,West Virginia,54,695,690
2010,Wisconsin,55,7864,7638
2010,Wyoming,56,1634,1563
2009,Alabama,1,2200,2078
2009,Arizona,4,741,734
2009,Arkansas,5,7751,7504
2009,California,6,4153,3585
2009,Colorado,8,6061,5781
2009,Connecticut,9,90,86
2009,Delaware,10,472,463
2009,Florida,12,1041,1014
2009,Georgia,13,3769,3396
2009,Hawaii,15,22,22
2009,Idaho,16,4329,4186
2009,Illinois,17,22945,22747
2009,Indiana,18,12155,12087
2009,Iowa,19,24648,24387
2009,Kansas,20,22669,21876
2009,Kentucky,21,5769,5629
2009,Louisiana,22,3410,3288
2009,Maine,23,281,276
2009,Maryland,24,1452,1395
2009,Massachusetts,25,102,99
2009,Michigan,26,6436,6301
2009,Minnesota,27,19595,19256
2009,Mississippi,28,4354,4163
2009,Missouri,29,13556,13403
2009,Montana,30,9100,8689
2009,Nebraska,31,19035,18590
2009,Nevada,32,519,512
2009,New Hampshire,33,72,72
2009,New Jersey,34,315,307
2009,New Mexico,35,1045,714
2009,New York,36,2935,2886
2009,North Carolina,37,4925,4714
2009,North Dakota,38,21583,20916
2009,Ohio,39,10021,9911
2009,Oklahoma,40,10562,8002
2009,Oregon,41,2124,2079
2009,Pennsylvania,42,3728,3653
2009,Rhode Island,44,10,9
2009,South Carolina,45,1654,1591
2009,South Dakota,46,17352,16809
2009,Tennessee,47,4907,4727
2009,Texas,48,22465,15618
2009,Utah,49,994,936
2009,Vermont,50,281,273
2009,Virginia,51,2671,2573
2009,Washington,53,3600,3511
2009,West Virginia,54,701,695
2009,Wisconsin,55,8160,7924
2009,Wyoming,56,1705,1613
2008,Alabama,1,2308,2199
2008,Arizona,4,742,734
2008,Arkansas,5,8361,8196
2008,California,6,4432,3853
2008,Colorado,8,5972,5403
2008,Connecticut,9,85,81
2008,Delaware,10,480,472
2008,Florida,12,1074,1051
2008,Georgia,13,3971,3632
2008,Hawaii,15,23,23
2008,Idaho,16,4296,4134
2008,Illinois,17,23251,23004
2008,Indiana,18,12335,12155
2008,Iowa,19,24790,24330
2008,Kansas,20,22764,21814
2008,Kentucky,21,5929,5792
2008,Louisiana,22,3695,3494
2008,Maine,23,275,268
2008,Maryland,24,1463,1363
2008,Massachusetts,25,95,91
2008,Michigan,26,6517,6454
2008,Minnesota,27,19778,19401
2008,Mississippi,28,4662,4573
2008,Missouri,29,14070,13690
2008,Montana,30,9199,8774
2008,Nebraska,31,18819,18444
2008,Nevada,32,490,478
2008,New Hampshire,33,68,67
2008,New Jersey,34,332,326
2008,New Mexico,35,1104,783
2008,New York,36,2898,2861
2008,North Carolina,37,5032,4855
2008,North Dakota,38,23745,22703
2008,Ohio,39,10147,10031
2008,Oklahoma,40,10149,8684
2008,Oregon,41,2194,2136
2008,Pennsylvania,42,3924,3858
2008,Rhode Island,44,10,10
2008,South Carolina,45,1715,1660
2008,South Dakota,46,17533,17039
2008,Tennessee,47,5003,4860
2008,Texas,48,22438,17278
2008,Utah,49,996,936
2008,Vermont,50,274,266
2008,Virginia,51,2815,2734
2008,Washington,53,3597,3537
2008,West Virginia,54,678,673
2008,Wisconsin,55,8066,7890
2008,Wyoming,56,1469,1406
2007,Alabama,1,2068,1918
2007,Arizona,4,688,679
2007,Arkansas,5,8256,8056
2007,California,6,4304,3787
2007,Colorado,8,6156,5837
2007,Connecticut,9,90,88
2007,Delaware,10,440,428
2007,Florida,12,1041,1014
2007,Georgia,13,3769,3331
2007,Hawaii,15,23,23
2007,Idaho,16,4294,4155
2007,Illinois,17,23201,22979
2007,Indiana,18,12305,12198
2007,Iowa,19,24410,24245
2007,Kansas,20,22941,20883
2007,Kentucky,21,5804,5571
2007,Louisiana,22,3365,3319
2007,Maine,23,283,278
2007,Maryland,24,1423,1332
2007,Massachusetts,25,104,101
2007,Michigan,26,6517,6444
2007,Minnesota,27,19543,19160
2007,Mississippi,28,4644,4533
2007,Missouri,29,13853,13501
2007,Montana,30,8864,8535
2007,Nebraska,31,18742,18382
2007,Nevada,32,498,486
2007,New Hampshire,33,60,60
2007,New Jersey,34,327,319
2007,New Mexico,35,1154,949
2007,New York,36,2864,2799
2007,North Carolina,37,4714,4446
2007,North Dakota,38,22099,21473
2007,Ohio,39,10056,9855
2007,Oklahoma,40,10398,7644
2007,Oregon,41,2115,2045
2007,Pennsylvania,42,4008,3917
2007,Rhode Island,44,11,11
2007,South Carolina,45,1643,1529
2007,South Dakota,46,16688,16098
2007,Tennessee,47,4612,4359
2007,Texas,48,22621,19174
2007,Utah,49,1001,939
2007,Vermont,50,312,307
2007,Virginia,51,2792,2711
2007,Washington,53,3647,3583
2007,West Virginia,54,669,665
2007,Wisconsin,55,8100,7906
2007,Wyoming,56,1500,1436
2006,Alabama,1,1982,1833
2006,Arizona,4,674,665
2006,Arkansas,5,7769,7646
2006,California,6,4371,3877
2006,Colorado,8,5678,5107
2006,Connecticut,9,92,91
2006,Delaware,10,442,431
2006,Florida,12,998,977
2006,Georgia,13,3652,3229
2006,Hawaii,15,22,22
2006,Idaho,16,4293,4134
2006,Illinois,17,23232,23094
2006,Indiana,18,12345,12284
2006,Iowa,19,24485,24298
2006,Kansas,20,22506,21413
2006,Kentucky,21,5526,5399
2006,Louisiana,22,3185,3128
2006,Maine,23,274,269
2006,Maryland,24,1429,1315
2006,Massachusetts,25,105,102
2006,Michigan,26,6519,6461
2006,Minnesota,27,19682,19327
2006,Mississippi,28,4327,4277
2006,Missouri,29,13855,13694
2006,Montana,30,8559,8269
2006,Nebraska,31,18689,18215
2006,Nevada,32,508,493
2006,New Hampshire,33,65,65
2006,New Jersey,34,314,307
2006,New Mexico,35,1078,722
2006,New York,36,2917,2869
2006,North Carolina,37,4643,4438
2006,North Dakota,38,21501,20391
2006,Ohio,39,10082,9966
2006,Oklahoma,40,10418,7541
2006,Oregon,41,2144,2066
2006,Pennsylvania,42,3912,3850
2006,Rhode Island,44,10,10
2006,South Carolina,45,1626,1583
2006,South Dakota,46,16222,14392
2006,Tennessee,47,4554,4425
2006,Texas,48,22315,14343
2006,Utah,49,1007,948
2006,Vermont,50,335,331
2006,Virginia,51,2652,2572
2006,Washington,53,3639,3551
2006,West Virginia,54,660,656
2006,Wisconsin,55,8193,7982
2006,Wyoming,56,1483,1407
2005,Alabama,1,2037,1932
2005,Arizona,4,730,719
2005,Arkansas,5,7559,7444
2005,California,6,4487,3985
2005,Colorado,8,6210,5692
2005,Connecticut,9,93,91
2005,Delaware,10,443,436
2005,Florida,12,1061,1032
2005,Georgia,13,3656,3193
2005,Hawaii,15,24,24
2005,Idaho,16,4219,4048
2005,Illinois,17,23111,22975
2005,Indiana,18,12330,12249
2005,Iowa,19,24680,24470
2005,Kansas,20,22711,21937
2005,Kentucky,21,5415,5308
2005,Louisiana,22,3365,3303
2005,Maine,23,290,281
2005,Maryland,24,1345,1309
2005,Massachusetts,25,113,110
2005,Michigan,26,6537,6481
2005,Minnesota,27,19377,18943
2005,Mississippi,28,4305,4261
2005,Missouri,29,13474,13343
2005,Montana,30,9495,9124
2005,Nebraska,31,18867,18508
2005,Nevada,32,479,471
2005,New Hampshire,33,72,71
2005,New Jersey,34,323,312
2005,New Mexico,35,1138,942
2005,New York,36,3088,3046
2005,North Carolina,37,4635,4435
2005,North Dakota,38,21317,20445
2005,Ohio,39,10103,9992
2005,Oklahoma,40,10150,8109
2005,Oregon,41,2169,2067
2005,Pennsylvania,42,3753,3687
2005,Rhode Island,44,12,12
2005,South Carolina,45,1583,1546
2005,South Dakota,46,16998,16407
2005,Tennessee,47,4590,4459
2005,Texas,48,22265,18621
2005,Utah,49,1013,938
2005,Vermont,50,335,330
2005,Virginia,51,2732,2659
2005,Washington,53,3615,3532
2005,West Virginia,54,645,641
2005,Wisconsin,55,8197,7911
2005,Wyoming,56,1589,1512
2004,Alabama,1,2162,2053
2004,Arizona,4,742,733
2004,Arkansas,5,8141,8013
2004,California,6,4722,4195
2004,Colorado,8,6157,5304
2004,Connecticut,9,98,95
2004,Delaware,10,468,459
2004,Florida,12,1042,1014
2004,Georgia,13,3863,3388
2004,Hawaii,15,23,23
2004,Idaho,16,4360,4188
2004,Illinois,17,23515,23384
2004,Indiana,18,12393,12309
2004,Iowa,19,24748,24544
2004,Kansas,20,22854,20877
2004,Kentucky,21,5529,5361
2004,Louisiana,22,3658,3509
2004,Maine,23,304,296
2004,Maryland,24,1418,1390
2004,Massachusetts,25,112,109
2004,Michigan,26,6452,6372
2004,Minnesota,27,19711,19140
2004,Mississippi,28,4375,4303
2004,Missouri,29,14110,13913
2004,Montana,30,9222,8536
2004,Nebraska,31,18804,18240
2004,Nevada,32,449,442
2004,New Hampshire,33,72,71
2004,New Jersey,34,344,336
2004,New Mexico,35,1192,984
2004,New York,36,2653,2615
2004,North Carolina,37,4765,4543
2004,North Dakota,38,21171,19522
2004,Ohio,39,9991,9865
2004,Oklahoma,40,10705,8873
2004,Oregon,41,2371,2286
2004,Pennsylvania,42,3893,3831
2004,Rhode Island,44,12,12
2004,South Carolina,45,1699,1648
2004,South Dakota,46,17314,16393
2004,Tennessee,47,4805,4639
2004,Texas,48,23119,19143
2004,Utah,49,1028,954
2004,Vermont,50,325,320
2004,Virginia,51,2751,2688
2004,Washington,53,3754,3679
2004,West Virginia,54,651,646
2004,Wisconsin,55,7960,7698
2004,Wyoming,56,1441,1367